orgao_dk;promotoria;foro_dk;foro;comarca_dk;comarca;atribuicao;ano;acervo
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1980;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1981;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1982;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1983;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1984;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1985;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1986;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1987;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1988;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1989;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1990;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1991;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1992;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1993;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1994;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1995;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1996;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1997;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1998;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1999;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2000;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2001;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2002;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2003;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2004;1
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2005;1
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2006;2
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2007;4
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2008;0
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2009;14
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2010;26
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2011;20
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2012;134
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2013;48
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2014;33
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2015;40
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2016;82
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2017;510
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2018;1132
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2019;1742
100986;1ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2020;692
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1980;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1981;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1982;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1983;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1984;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1985;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1986;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1987;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1988;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1989;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1990;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1991;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1992;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1993;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1994;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1995;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1996;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1997;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1998;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1999;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2000;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2001;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2002;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2003;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2004;2
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2005;2
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2006;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2007;1
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2008;0
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2009;6
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2010;19
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2011;21
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2012;173
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2013;485
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2014;625
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2015;562
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2016;558
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2017;590
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2018;572
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2019;1149
100987;2ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2020;379
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1980;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1981;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1982;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1983;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1984;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1985;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1986;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1987;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1988;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1989;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1990;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1991;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1992;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1993;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1994;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1995;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1996;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1997;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1998;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;1999;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2000;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2001;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2002;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2003;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2004;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2005;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2006;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2007;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2008;0
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2009;1
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2010;4
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2011;6
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2012;59
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2013;37
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2014;41
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2015;54
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2016;49
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2017;116
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2018;102
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2019;172
8061083;3ª PJ junto a Auditoria da Justiça Militar;15;Foro Central Capital;15;Rio de Janeiro;Auditoria de Justiça Militar;2020;60
101043;1ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu;84;Foro Regional Bangu;15;Rio de Janeiro;Junto à vara criminal;1980;0
101043;1ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu;84;Foro Regional Bangu;15;Rio de Janeiro;Junto à vara criminal;1981;0
101043;1ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu;84;Foro Regional Bangu;15;Rio de Janeiro;Junto à vara criminal;1982;0
101043;1ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu;84;Foro Regional Bangu;15;Rio de Janeiro;Junto à vara criminal;1983;0
