pip_dk;pip_dscr_novo;nucleo;familia;area_atuacao;ano;acervo_ip;acervo_pic
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2001;2;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2001;1;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2001;2;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2001;8;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2001;5;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2001;0;0
30069516;5ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2001;8;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2001;2;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2001;0;0
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2001;10;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2001;0;0
30034664;1ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2001;25;0
30069601;2ª PIP - VD Duque de Caxias;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Duque de Caxias;2001;0;0
29941322;PIP - VD Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Violência contra mulher;Área Nova Iguaçu;2001;1;0
6115386;PIP - Barra Mansa;Interior;Interior;Barra Mansa;2001;0;0
5679985;PIP - Cabo Frio;Interior;Interior;Cabo Frio;2001;0;0
400731;2ª PIP - Campos;Interior;Interior;Campos;2001;0;0
400758;1ª PIP - Campos;Interior;Interior;Campos;2001;0;0
7419262;PIP - Itaboraí;Interior;Interior;Itaboraí;2001;0;0
7419344;PIP - Itaguaí;Interior;Interior;Itaguaí;2001;0;0
1249804;PIP - Macaé;Interior;Interior;Macaé;2001;0;0
300987;PIP - Nova Friburgo;Interior;Interior;Nova Friburgo;2001;0;0
400736;PIP - Petrópolis;Interior;Interior;Petrópolis;2001;0;0
300977;PIP - Volta Redonda;Interior;Interior;Volta Redonda;2001;0;0
29941368;1ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2001;5;0
30061803;2ª PIP - Especializada Niterói/São Gonçalo;Niterói/São Gonçalo;Especializada;Niterói/São Gonçalo;2001;1;0
30034384;1ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2001;9;0
30061094;2ª PIP - Niterói;Niterói/São Gonçalo;Territorial;Niterói;2001;8;0
30061624;1ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2001;15;0
30061694;2ª PIP - São Gonçalo;Niterói/São Gonçalo;Territorial;São Gonçalo;2001;8;0
