pip_dk;pip_dscr;nucleo;familia;area_atuacao;ano_mes;denuncia;denuncia_preenchida;denuncia_sistema;denuncia_recebida;denuncia_rejeitada;denuncia_procedente;denuncia_improcedente;processo_extinto;processo_suspenso
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-03;2;1;1;1;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-03;1;1;1;1;0;0;0;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-05;0;0;0;0;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-05;0;0;0;0;0;0;0;0;0
30070783;1ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-06;3;0;0;0;0;0;0;0;0
30070806;2ª PIP - Especializada Duque de Caxias/Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Especializada;D. Caxias/N. Iguaçu;2020-06;2;2;2;2;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;1;1;1;1;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;0;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;0;0;0;0;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-03;1;0;0;0;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-04;0;0;0;0;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;0;0;0;0;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;0;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;0;0;0;0;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-05;10;0;0;0;0;0;0;0;0
30069167;1ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;0;0;0;0;0;0;0;0;0
30069433;2ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;11;0;0;0;0;0;0;0;0
30069453;3ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;9;1;1;1;0;0;0;0;0
30069490;4ª PIP - Duque de Caxias;Duque de Caxias/Nova Iguaçu;Territorial;Duque de Caxias;2020-06;6;0;0;0;0;0;0;0;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;4;3;3;3;0;0;0;0;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;0;0;0;0;0;0;0;0;0
30069732;3ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;10;6;6;6;0;0;0;0;0
30070041;4ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-03;13;0;0;0;0;0;0;0;0
30069669;1ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
30069693;2ª PIP - Nova Iguaçu;Duque de Caxias/Nova Iguaçu;Territorial;Nova Iguaçu;2020-04;0;0;0;0;0;0;0;0;0
