"codigo_comarca";"nome_comarca";"ano";"novos";"denuncias";"arquivamentos";"finalizados";"taxa_denuncia";"taxa_arquivamento";"taxa_finalizacao"
1;"Angra dos Reis";2021;72;0;0;0;0;0;0
2;"Araruama";2021;17;0;0;0;0;0;0
3;"Armação dos Búzios";2021;32;6;1;7;18,8;3,1;21,9
4;"Arraial do Cabo";2021;11;0;0;0;0;0;0
5;"Barra do Piraí";2021;149;4;6;10;2,7;4;6,7
6;"Barra Mansa";2021;109;0;0;0;0;0;0
7;"Belford Roxo";2021;25;0;0;0;0;0;0
8;"Bom Jardim";2021;14;1;0;1;7,1;0;7,1
9;"Bom Jesus do Itabapoana";2021;45;0;1;1;0;2,2;2,2
10;"Cabo Frio";2021;94;0;1;1;0;1,1;1,1
11;"Cachoeiras de Macacu";2021;79;1;0;1;1,3;0;1,3
12;"Cambuci";2021;13;1;1;2;7,7;7,7;15,4
13;"Campos dos Goytacazes";2021;87;1;0;1;1,1;0;1,1
14;"Cantagalo";2021;35;0;3;3;0;8,6;8,6
15;"Rio de Janeiro";2021;4035;244;68;312;6;1,7;7,7
16;"Carapebus/Quissamã";2021;63;0;0;0;0;0;0
17;"Carmo";2021;12;1;2;3;8,3;16,7;25
18;"Casimiro de Abreu";2021;25;0;1;1;0;4;4
19;"Conceição de Macabu";2021;6;0;0;0;0;0;0
20;"Cordeiro";2021;34;0;0;0;0;0;0
21;"Duas Barras";2021;10;0;0;0;0;0;0
22;"Duque de Caxias";2021;1074;13;9;22;1,2;0,8;2
23;"Engenheiro Paulo de Frontin";2021;9;0;1;1;0;11,1;11,1
24;"Guapimirim";2021;20;1;0;1;5;0;5
25;"Iguaba Grande";2021;48;0;0;0;0;0;0
26;"Itaboraí";2021;31;0;0;0;0;0;0
27;"Itaguaí";2021;31;1;0;1;3,2;0;3,2
28;"Italva(Cardoso Moreira)";2021;15;0;1;1;0;6,7;6,7
29;"Itaocara";2021;22;4;0;4;18,2;0;18,2
30;"Itaperuna";2021;33;1;1;2;3;3;6,1
31;"Itatiaia";2021;29;4;3;7;13,8;10,3;24,1
32;"Japeri";2021;119;6;0;6;5;0;5
33;"Laje do Muriaé";2021;16;1;1;2;6,2;6,2;12,5
34;"Macaé";2021;127;0;2;2;0;1,6;1,6
35;"Magé";2021;113;3;6;9;2,7;5,3;8
36;"Mangaratiba";2021;139;6;16;22;4,3;11,5;15,8
37;"Maricá";2021;50;0;0;0;0;0;0
38;"Mendes";2021;10;0;2;2;0;20;20
40;"Miguel Pereira";2021;52;2;0;2;3,8;0;3,8
41;"Miracema";2021;32;2;4;6;6,2;12,5;18,8
