"codigo_comarca";"nome_comarca";"ano";"denuncias";"com_informacao";"sem_informacao";"com_sentenca";"aguardando_sentenca";"sentenca_julgada_procedente";"sentenca_julgada_improcedente";"processo_extinto";"processo_suspenso";"taxa_com_informacao";"taxa_sem_informacao";"taxa_com_sentenca";"taxa_aguardando_sentenca";"taxa_sentenca_julgada_procedente";"taxa_sentenca_julgada_improcedente";"taxa_processo_extinto";"taxa_processo_suspenso"
1;"Angra dos Reis";"2020";335;224;111;28;196;10;3;15;0;66,9;33,1;12,5;87,5;35,7;10,7;53,6;0
2;"Araruama";"2020";829;135;694;34;101;19;1;14;0;16,3;83,7;25,2;74,8;55,9;2,9;41,2;0
3;"Armação dos Búzios";"2020";154;77;77;8;69;5;0;3;0;50;50;10,4;89,6;62,5;0;37,5;0
4;"Arraial do Cabo";"2020";116;59;57;5;54;2;0;3;0;50,9;49,1;8,5;91,5;40;0;60;0
5;"Barra do Piraí";"2020";284;130;154;38;92;10;4;24;0;45,8;54,2;29,2;70,8;26,3;10,5;63,2;0
6;"Barra Mansa";"2020";622;516;106;91;425;46;10;35;0;83;17;17,6;82,4;50,5;11;38,5;0
7;"Belford Roxo";"2020";223;191;32;46;145;14;3;29;0;85,7;14,3;24,1;75,9;30,4;6,5;63;0
8;"Bom Jardim";"2020";92;30;62;11;19;2;0;9;0;32,6;67,4;36,7;63,3;18,2;0;81,8;0
9;"Bom Jesus do Itabapoana";"2020";174;46;128;21;25;2;2;17;0;26,4;73,6;45,7;54,3;9,5;9,5;81;0
10;"Cabo Frio";"2020";841;597;244;206;391;141;17;47;1;71;29;34,5;65,5;68,4;8,3;22,8;0,5
11;"Cachoeiras de Macacu";"2020";179;113;66;24;89;6;1;17;0;63,1;36,9;21,2;78,8;25;4,2;70,8;0
12;"Cambuci";"2020";40;19;21;13;6;7;0;6;0;47,5;52,5;68,4;31,6;53,8;0;46,2;0
13;"Campos dos Goytacazes";"2020";1287;481;806;98;383;48;6;44;0;37,4;62,6;20,4;79,6;49;6,1;44,9;0
14;"Cantagalo";"2020";82;29;53;18;11;13;0;5;0;35,4;64,6;62,1;37,9;72,2;0;27,8;0
15;"Rio de Janeiro";"2020";18173;12504;5669;4156;8348;1144;450;2492;70;68,8;31,2;33,2;66,8;27,5;10,8;60;1,7
16;"Carapebus/Quissamã";"2020";78;47;31;11;36;2;0;9;0;60,3;39,7;23,4;76,6;18,2;0;81,8;0
17;"Carmo";"2020";108;37;71;17;20;7;0;10;0;34,3;65,7;45,9;54,1;41,2;0;58,8;0
18;"Casimiro de Abreu";"2020";125;9;116;2;7;0;0;2;0;7,2;92,8;22,2;77,8;0;0;100;0
19;"Conceição de Macabu";"2020";77;42;35;21;21;5;0;16;0;54,5;45,5;50;50;23,8;0;76,2;0
20;"Cordeiro";"2020";146;35;111;19;16;5;0;14;0;24;76;54,3;45,7;26,3;0;73,7;0
21;"Duas Barras";"2020";13;4;9;1;3;1;0;0;0;30,8;69,2;25;75;100;0;0;0
22;"Duque de Caxias";"2020";3313;875;2438;216;659;72;11;133;0;26,4;73,6;24,7;75,3;33,3;5,1;61,6;0
23;"Engenheiro Paulo de Frontin";"2020";86;51;35;34;17;17;2;15;0;59,3;40,7;66,7;33,3;50;5,9;44,1;0
24;"Guapimirim";"2020";144;53;91;33;20;11;5;17;0;36,8;63,2;62,3;37,7;33,3;15,2;51,5;0
25;"Iguaba Grande";"2020";106;28;78;10;18;0;0;10;0;26,4;73,6;35,7;64,3;0;0;100;0
26;"Itaboraí";"2020";510;444;66;172;272;112;11;44;5;87,1;12,9;38,7;61,3;65,1;6,4;25,6;2,9
27;"Itaguaí";"2020";376;281;95;21;260;1;0;19;1;74,7;25,3;7,5;92,5;4,8;0;90,5;4,8
28;"Italva(Cardoso Moreira)";"2020";111;98;13;18;80;6;0;12;0;88,3;11,7;18,4;81,6;33,3;0;66,7;0
29;"Itaocara";"2020";145;50;95;14;36;3;0;11;0;34,5;65,5;28;72;21,4;0;78,6;0
30;"Itaperuna";"2020";277;93;184;10;83;3;0;7;0;33,6;66,4;10,8;89,2;30;0;70;0
31;"Itatiaia";"2020";179;94;85;38;56;22;4;12;0;52,5;47,5;40,4;59,6;57,9;10,5;31,6;0
32;"Japeri";"2020";238;100;138;22;78;3;3;16;0;42;58;22;78;13,6;13,6;72,7;0
33;"Laje do Muriaé";"2020";48;28;20;7;21;4;1;2;0;58,3;41,7;25;75;57,1;14,3;28,6;0
34;"Macaé";"2020";621;262;359;90;172;56;4;30;0;42,2;57,8;34,4;65,6;62,2;4,4;33,3;0
35;"Magé";"2020";450;268;182;88;180;15;4;69;0;59,6;40,4;32,8;67,2;17;4,5;78,4;0
36;"Mangaratiba";"2020";196;126;70;11;115;1;0;10;0;64,3;35,7;8,7;91,3;9,1;0;90,9;0
37;"Maricá";"2020";222;121;101;25;96;6;0;19;0;54,5;45,5;20,7;79,3;24;0;76;0
38;"Mendes";"2020";106;30;76;16;14;6;0;10;0;28,3;71,7;53,3;46,7;37,5;0;62,5;0
40;"Miguel Pereira";"2020";81;55;26;14;41;2;1;11;0;67,9;32,1;25,5;74,5;14,3;7,1;78,6;0
41;"Miracema";"2020";165;125;40;54;71;8;0;46;0;75,8;24,2;43,2;56,8;14,8;0;85,2;0
42;"Natividade";"2020";63;49;14;14;35;1;1;12;0;77,8;22,2;28,6;71,4;7,1;7,1;85,7;0
43;"Nilópolis";"2020";174;154;20;82;72;42;11;25;4;88,5;11,5;53,2;46,8;51,2;13,4;30,5;4,9
44;"Niterói";"2020";1664;1275;389;256;1019;69;20;155;12;76,6;23,4;20,1;79,9;27;7,8;60,5;4,7
45;"Nova Friburgo";"2020";714;536;178;54;482;13;10;31;0;75,1;24,9;10,1;89,9;24,1;18,5;57,4;0
46;"Nova Iguaçu";"2020";2554;1317;1237;490;827;76;248;156;10;51,6;48,4;37,2;62,8;15,5;50,6;31,8;2
47;"Paracambi";"2020";158;69;89;58;11;4;2;51;1;43,7;56,3;84,1;15,9;6,9;3,4;87,9;1,7
48;"Paraíba do Sul";"2020";176;116;60;30;86;17;0;13;0;65,9;34,1;25,9;74,1;56,7;0;43,3;0
49;"Paraty";"2020";148;104;44;9;95;2;0;7;0;70,3;29,7;8,7;91,3;22,2;0;77,8;0
50;"Paty do Alferes";"2020";114;85;29;30;55;6;0;24;0;74,6;25,4;35,3;64,7;20;0;80;0
51;"Petrópolis";"2020";1565;1051;514;135;916;17;25;93;0;67,2;32,8;12,8;87,2;12,6;18,5;68,9;0
52;"Pinheiral";"2020";84;64;20;29;35;12;2;15;0;76,2;23,8;45,3;54,7;41,4;6,9;51,7;0
53;"Piraí";"2020";113;66;47;12;54;2;0;10;0;58,4;41,6;18,2;81,8;16,7;0;83,3;0
54;"Porciúncula";"2020";234;146;88;32;114;10;1;21;0;62,4;37,6;21,9;78,1;31,2;3,1;65,6;0
55;"Porto Real-Quatis";"2020";81;41;40;4;37;3;0;1;0;50,6;49,4;9,8;90,2;75;0;25;0
56;"Queimados";"2020";295;101;194;21;80;12;4;5;0;34,2;65,8;20,8;79,2;57,1;19;23,8;0
57;"Resende";"2020";539;378;161;81;297;11;4;66;0;70,1;29,9;21,4;78,6;13,6;4,9;81,5;0
58;"Rio Bonito";"2020";219;118;101;34;84;15;2;17;0;53,9;46,1;28,8;71,2;44,1;5,9;50;0
59;"Rio Claro";"2020";39;20;19;2;18;1;0;1;0;51,3;48,7;10;90;50;0;50;0
60;"Rio Das Flores";"2020";47;27;20;7;20;1;1;5;0;57,4;42,6;25,9;74,1;14,3;14,3;71,4;0
61;"Rio Das Ostras";"2020";492;103;389;15;88;2;0;13;0;20,9;79,1;14,6;85,4;13,3;0;86,7;0
62;"Santa Maria Madalena";"2020";5;5;0;4;1;0;3;1;0;100;0;80;20;0;75;25;0
63;"Santo Antônio de Pádua";"2020";167;59;108;23;36;11;1;11;0;35,3;64,7;39;61;47,8;4,3;47,8;0
64;"São Fidélis";"2020";197;40;157;16;24;5;1;10;0;20,3;79,7;40;60;31,2;6,2;62,5;0
65;"São Francisco do Itabapoana";"2020";66;17;49;9;8;1;0;8;0;25,8;74,2;52,9;47,1;11,1;0;88,9;0
66;"São Gonçalo";"2020";2108;1658;450;497;1161;118;83;225;71;78,7;21,3;30;70;23,7;16,7;45,3;14,3
67;"São João da Barra";"2020";336;237;99;19;218;12;0;7;0;70,5;29,5;8;92;63,2;0;36,8;0
68;"São João de Meriti";"2020";279;231;48;71;160;25;10;36;0;82,8;17,2;30,7;69,3;35,2;14,1;50,7;0
69;"São José do Vale do Rio Preto";"2020";59;25;34;8;17;0;0;8;0;42,4;57,6;32;68;0;0;100;0
70;"São Pedro da Aldeia";"2020";352;287;65;63;224;15;3;45;0;81,5;18,5;22;78;23,8;4,8;71,4;0
71;"São Sebastião do Alto";"2020";29;9;20;6;3;0;0;6;0;31;69;66,7;33,3;0;0;100;0
72;"Sapucaia";"2020";103;14;89;6;8;0;0;6;0;13,6;86,4;42,9;57,1;0;0;100;0
73;"Saquarema";"2020";80;62;18;15;47;12;0;3;0;77,5;22,5;24,2;75,8;80;0;20;0
74;"Seropédica";"2020";255;93;162;34;59;9;2;23;0;36,5;63,5;36,6;63,4;26,5;5,9;67,6;0
75;"Silva Jardim";"2020";126;40;86;10;30;6;0;4;0;31,7;68,3;25;75;60;0;40;0
76;"Sumidouro";"2020";64;38;26;3;35;0;0;3;0;59,4;40,6;7,9;92,1;0;0;100;0
78;"Teresópolis";"2020";585;485;100;72;413;17;9;46;0;82,9;17,1;14,8;85,2;23,6;12,5;63,9;0
79;"Trajano de Moraes";"2020";19;3;16;1;2;0;0;1;0;15,8;84,2;33,3;66,7;0;0;100;0
80;"Três Rios";"2020";676;467;209;84;383;55;0;29;0;69,1;30,9;18;82;65,5;0;34,5;0
81;"Valença";"2020";294;181;113;80;101;2;0;78;0;61,6;38,4;44,2;55,8;2,5;0;97,5;0
82;"Vassouras";"2020";167;128;39;54;74;14;1;39;0;76,6;23,4;42,2;57,8;25,9;1,9;72,2;0
83;"Volta Redonda";"2020";763;351;412;55;296;16;1;38;0;46;54;15,7;84,3;29,1;1,8;69,1;0
