"nivel";"ano";"mes";"novos";"denuncias";"arquivamentos";"baixas";"med_caut"
"Estado";2016;1;11914;2324;10008;48371;325
"Estado";2016;2;12195;2475;9694;51980;301
"Estado";2016;3;16027;3743;14838;68579;383
"Estado";2016;4;14232;2679;9137;56349;299
"Estado";2016;5;15252;2624;9261;59589;340
"Estado";2016;6;17014;3018;10777;55174;316
"Estado";2016;7;18183;2794;10357;51810;351
"Estado";2016;8;12568;2320;7649;49651;268
"Estado";2016;9;14537;2716;10379;53886;381
"Estado";2016;10;14422;2952;9728;55075;360
"Estado";2016;11;14258;2637;9646;57282;281
"Estado";2016;12;10863;1949;6598;42831;244
"Estado";2017;1;11855;2447;8051;47545;282
"Estado";2017;2;11170;2177;6809;41622;247
"Estado";2017;3;14577;2780;9513;67811;336
"Estado";2017;4;13536;2145;7012;59740;293
"Estado";2017;5;15135;2968;9590;57641;347
"Estado";2017;6;12436;2815;9329;55194;336
"Estado";2017;7;13686;3081;8663;53399;355
"Estado";2017;8;14560;3410;10681;60874;349
"Estado";2017;9;12299;2502;10749;50448;350
"Estado";2017;10;13324;2737;10631;57702;341
"Estado";2017;11;12688;2652;10195;56725;316
"Estado";2017;12;9275;2320;7827;39459;262
"Estado";2018;1;13798;2687;9636;49334;287
"Estado";2018;2;10058;2579;8944;44040;247
"Estado";2018;3;14397;3498;12390;61494;293
"Estado";2018;4;15755;3274;10079;66284;304
"Estado";2018;5;16713;3335;10548;52217;378
"Estado";2018;6;13258;3272;10404;49819;358
"Estado";2018;7;13614;3804;9082;47910;389
"Estado";2018;8;15349;4261;10520;50602;446
"Estado";2018;9;13063;3458;9266;46535;355
"Estado";2018;10;14649;3919;8935;55492;357
"Estado";2018;11;12276;3467;6657;50736;347
"Estado";2018;12;8831;3293;6254;39440;232
"Estado";2019;1;13765;4014;7472;55438;305
"Estado";2019;2;14417;3268;8618;54730;464
"Estado";2019;3;13255;3535;6612;47740;387
"Estado";2019;4;14040;3538;7816;48638;437
"Estado";2019;5;16553;4258;8727;54488;460
"Estado";2019;6;14006;3048;6637;46034;419
"Estado";2019;7;16431;4376;9315;57681;514
"Estado";2019;8;15389;3725;9997;54980;479
"Estado";2019;9;15188;3925;9014;51905;440
"Estado";2019;10;16136;3737;9536;56936;407
"Estado";2019;11;12627;3347;7926;48634;347
"Estado";2019;12;9436;2859;5984;37213;423
"Estado";2020;1;13124;3073;5334;45725;356
"Estado";2020;2;7942;2448;5901;46673;271
"Estado";2020;3;7100;1419;3366;23606;214
"Estado";2020;4;1731;570;346;1737;108
"Estado";2020;5;2951;705;516;3647;144
"Estado";2020;6;4706;762;1058;3398;139
"Estado";2020;7;14468;2382;5382;39999;371
"Estado";2020;8;16023;2748;8312;44727;418
"Estado";2020;9;12632;3643;10719;45800;326
"Estado";2020;10;12676;3284;10204;39403;281
"Estado";2020;11;11666;2607;7941;39277;273
"Estado";2020;12;9008;2343;6927;28771;260
"Estado";2021;1;10610;2151;4754;16443;234
