"nivel";"ano";"novos";"denuncias";"arquivamentos";"finalizados";"taxa_denuncia";"taxa_arquivamento";"taxa_finalizacao"
"Estado";2010;183604;25356;104380;129736;13,8;56,9;70,7
"Estado";2011;230904;27778;104263;132041;12;45,2;57,2
"Estado";2012;213821;30397;89128;119525;14,2;41,7;55,9
"Estado";2013;213231;31912;85820;117732;15;40,2;55,2
"Estado";2014;223070;34427;78546;112973;15,4;35,2;50,6
"Estado";2015;192736;29002;58424;87426;15;30,3;45,4
"Estado";2016;171465;27581;56989;84570;16,1;33,2;49,3
"Estado";2017;154541;25974;43796;69770;16,8;28,3;45,1
"Estado";2018;161761;32435;36121;68556;20,1;22,3;42,4
"Estado";2019;171243;30260;27127;57387;17,7;15,8;33,5
"Estado";2020;114027;17293;11567;28860;15,2;10,1;25,3
"Estado";2021;10610;415;255;670;3,9;2,4;6,3
