"codigo_orgao";"nome_orgao";"codigo_comarca";"nome_comarca";"ano";"denuncias";"com_informacao";"sem_informacao";"com_sentenca";"aguardando_sentenca";"sentenca_julgada_procedente";"sentenca_julgada_improcedente";"processo_extinto";"processo_suspenso";"taxa_com_informacao";"taxa_sem_informacao";"taxa_com_sentenca";"taxa_aguardando_sentenca";"taxa_sentenca_julgada_procedente";"taxa_sentenca_julgada_improcedente";"taxa_processo_extinto";"taxa_processo_suspenso"
400565;"PJ junto a 5ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";168;141;27;45;96;34;3;8;0;83,9;16,1;31,9;68,1;75,6;6,7;17,8;0
400573;"PJ junto a 11ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";160;147;13;38;109;15;0;22;1;91,9;8,1;25,9;74,1;39,5;0;57,9;2,6
400588;"PJ junto a 14ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";114;96;18;52;44;42;4;6;0;84,2;15,8;54,2;45,8;80,8;7,7;11,5;0
400592;"PJ junto a 16ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";191;177;14;18;159;9;0;9;0;92,7;7,3;10,2;89,8;50;0;50;0
400591;"PJ junto a 17ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";181;169;12;66;103;44;3;15;4;93,4;6,6;39,1;60,9;66,7;4,5;22,7;6,1
400594;"PJ junto a 19ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";164;149;15;19;130;6;2;11;0;90,9;9,1;12,8;87,2;31,6;10,5;57,9;0
400580;"PJ junto a 20ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";170;152;18;58;94;30;1;27;0;89,4;10,6;38,2;61,8;51,7;1,7;46,6;0
400590;"PJ junto a 21ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";216;195;21;45;150;23;7;14;1;90,3;9,7;23,1;76,9;51,1;15,6;31,1;2,2
400582;"PJ junto a 23ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";198;180;18;19;161;13;2;4;0;90,9;9,1;10,6;89,4;68,4;10,5;21,1;0
400568;"PJ junto a 26ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";160;127;33;42;85;30;4;8;0;79,4;20,6;33,1;66,9;71,4;9,5;19;0
400586;"PJ junto a 27ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";193;168;25;68;100;49;0;19;0;87;13;40,5;59,5;72,1;0;27,9;0
400585;"PJ junto a 28ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";200;177;23;28;149;15;3;10;0;88,5;11,5;15,8;84,2;53,6;10,7;35,7;0
400569;"PJ junto a 29ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";191;174;17;85;89;67;5;13;0;91,1;8,9;48,9;51,1;78,8;5,9;15,3;0
400597;"PJ junto a 31ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";155;144;11;25;119;13;6;6;0;92,9;7,1;17,4;82,6;52;24;24;0
400581;"PJ junto a 32ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";169;150;19;9;141;6;0;3;0;88,8;11,2;6;94;66,7;0;33,3;0
400577;"PJ junto a 33ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";161;131;30;83;48;66;6;11;0;81,4;18,6;63,4;36,6;79,5;7,2;13,3;0
400583;"PJ junto a 34ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";159;140;19;35;105;27;4;4;0;88,1;11,9;25;75;77,1;11,4;11,4;0
400570;"PJ junto a 35ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";197;181;16;46;135;23;8;15;0;91,9;8,1;25,4;74,6;50;17,4;32,6;0
400571;"PJ junto a 36ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";175;156;19;31;125;20;0;9;2;89,1;10,9;19,9;80,1;64,5;0;29;6,5
400572;"PJ junto a 37ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";127;112;15;49;63;36;8;5;0;88,2;11,8;43,8;56,2;73,5;16,3;10,2;0
400595;"PJ junto a 38ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";88;81;7;25;56;9;7;9;0;92;8;30,9;69,1;36;28;36;0
400579;"PJ junto a 39ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";196;181;15;37;144;25;3;9;0;92,3;7,7;20,4;79,6;67,6;8,1;24,3;0
101062;"PJ junto a 40ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";196;189;7;123;66;65;28;23;7;96,4;3,6;65,1;34,9;52,8;22,8;18,7;5,7
101063;"PJ junto a 41ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";140;136;4;42;94;29;2;11;0;97,1;2,9;30,9;69,1;69;4,8;26,2;0
101053;"PJ junto a 42ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";192;180;12;128;52;72;18;33;5;93,8;6,2;71,1;28,9;56,2;14,1;25,8;3,9
101055;"PJ junto a 43ª Vara Criminal da Capital";15;"Rio de Janeiro";"2020";144;130;14;54;76;34;5;14;1;90,3;9,7;41,5;58,5;63;9,3;25,9;1,9
101043;"1ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu";15;"Rio de Janeiro";"2020";275;263;12;107;156;44;1;59;3;95,6;4,4;40,7;59,3;41,1;0,9;55,1;2,8
101044;"2ª PJ junto a 1ª e a 2ª Varas Criminais de Bangu";15;"Rio de Janeiro";"2020";220;178;42;83;95;25;5;53;0;80,9;19,1;46,6;53,4;30,1;6;63,9;0
101082;"PJ junto a 1ª Vara Criminal de Jacarepagua";15;"Rio de Janeiro";"2020";257;189;68;46;143;13;1;31;1;73,5;26,5;24,3;75,7;28,3;2,2;67,4;2,2
101070;"PJ junto a 2ª Vara Criminal de Jacarepagua";15;"Rio de Janeiro";"2020";253;242;11;45;197;8;5;31;1;95,7;4,3;18,6;81,4;17,8;11,1;68,9;2,2
101088;"1ª PJ Criminal de Santa Cruz";15;"Rio de Janeiro";"2020";50;38;12;28;10;10;0;18;0;76;24;73,7;26,3;35,7;0;64,3;0
101089;"2ª PJ Criminal de Santa Cruz";15;"Rio de Janeiro";"2020";44;31;13;13;18;5;0;8;0;70,5;29,5;41,9;58,1;38,5;0;61,5;0
29623958;"1ª PJ junto a 1ª Vara Criminal Especializada da Capital";15;"Rio de Janeiro";"2020";19;18;1;15;3;3;0;12;0;94,7;5,3;83,3;16,7;20;0;80;0
29624141;"2ª PJ junto a 1ª Vara Criminal Especializada da Capital";15;"Rio de Janeiro";"2020";6;6;0;5;1;2;0;3;0;100;0;83,3;16,7;40;0;60;0
907757;"PJ junto a 1ª Vara Criminal de Madureira";15;"Rio de Janeiro";"2020";173;167;6;94;73;35;14;45;0;96,5;3,5;56,3;43,7;37,2;14,9;47,9;0
101080;"PJ junto a 2ª Vara Criminal de Madureira";15;"Rio de Janeiro";"2020";174;148;26;70;78;13;4;53;0;85,1;14,9;47,3;52,7;18,6;5,7;75,7;0
101290;"PJ junto a 1ª Vara Criminal de Niterói";44;"Niteroi";"2020";206;160;46;27;133;6;1;12;8;77,7;22,3;16,9;83,1;22,2;3,7;44,4;29,6
101291;"PJ junto a 2ª Vara Criminal de Niterói";44;"Niteroi";"2020";215;164;51;22;142;14;0;8;0;76,3;23,7;13,4;86,6;63,6;0;36,4;0
101292;"PJ junto a 3ª Vara Criminal de Niterói";44;"Niteroi";"2020";5;5;0;3;2;1;0;2;0;100;0;60;40;33,3;0;66,7;0
101294;"PJ junto a 4ª Vara Criminal de Niterói";44;"Niteroi";"2020";207;163;44;31;132;23;1;7;0;78,7;21,3;19;81;74,2;3,2;22,6;0
101403;"PJ junto a 1ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2020";159;124;35;70;54;44;1;25;0;78;22;56,5;43,5;62,9;1,4;35,7;0
101408;"PJ junto a 2ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2020";167;141;26;38;103;10;3;13;12;84,4;15,6;27;73;26,3;7,9;34,2;31,6
101405;"PJ junto a 3ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2020";154;146;8;43;103;22;3;13;5;94,8;5,2;29,5;70,5;51,2;7;30,2;11,6
101406;"1ª PJ junto a 4ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2020";8;8;0;7;1;3;1;3;0;100;0;87,5;12,5;42,9;14,3;42,9;0
101407;"2ª PJ junto a 4ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2020";6;5;1;4;1;1;1;2;0;83,3;16,7;80;20;25;25;50;0
101404;"PJ junto a 5ª Vara Criminal de São Gonçalo";66;"Sao Goncalo";"2020";141;111;30;41;70;16;1;22;2;78,7;21,3;36,9;63,1;39;2,4;53,7;4,9
101189;"PJ junto a 1ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2020";201;164;37;40;124;30;1;9;0;81,6;18,4;24,4;75,6;75;2,5;22,5;0
101190;"PJ junto a 2ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2020";210;164;46;48;116;30;1;17;0;78,1;21,9;29,3;70,7;62,5;2,1;35,4;0
101191;"PJ junto a 3ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2020";147;126;21;14;112;6;0;8;0;85,7;14,3;11,1;88,9;42,9;0;57,1;0
101192;"1ª PJ junto a 4ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2020";3;2;1;2;0;0;0;2;0;66,7;33,3;100;0;0;0;100;0
101193;"2ª PJ junto a 4ª Vara Criminal de Duque de Caxias";22;"Duque de Caxias";"2020";11;11;0;11;0;0;0;11;0;100;0;100;0;0;0;100;0
200201;"PJ junto a 1ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2020";172;159;13;23;136;4;0;18;1;92,4;7,6;14,5;85,5;17,4;0;78,3;4,3
101315;"PJ junto a 2ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2020";169;153;16;62;91;33;14;15;0;90,5;9,5;40,5;59,5;53,2;22,6;24,2;0
101317;"1ª PJ junto a 4ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2020";7;7;0;5;2;0;0;5;0;100;0;71,4;28,6;0;0;100;0
101318;"2ª PJ junto a 4ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2020";5;5;0;5;0;0;0;5;0;100;0;100;0;0;0;100;0
101322;"PJ junto a 7ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2020";112;98;14;27;71;18;5;4;0;87,5;12,5;27,6;72,4;66,7;18,5;14,8;0
101419;"1ª PJ junto a 1ª Vara Criminal de São João de Meriti";68;"Sao Joao de Meriti";"2020";87;69;18;21;48;9;5;7;0;79,3;20,7;30,4;69,6;42,9;23,8;33,3;0
