cisp;area_atuacao_dk;area_atuacao_dscr
9;241;Violência contra mulher - Rio de Janeiro - Centro
10;241;Violência contra mulher - Rio de Janeiro - Centro
12;241;Violência contra mulher - Rio de Janeiro - Centro
13;241;Violência contra mulher - Rio de Janeiro - Centro
6;241;Violência contra mulher - Rio de Janeiro - Centro
17;241;Violência contra mulher - Rio de Janeiro - Centro
1;241;Violência contra mulher - Rio de Janeiro - Centro
4;241;Violência contra mulher - Rio de Janeiro - Centro
5;241;Violência contra mulher - Rio de Janeiro - Centro
7;241;Violência contra mulher - Rio de Janeiro - Centro
23;241;Violência contra mulher - Rio de Janeiro - Centro
24;241;Violência contra mulher - Rio de Janeiro - Centro
25;241;Violência contra mulher - Rio de Janeiro - Centro
26;241;Violência contra mulher - Rio de Janeiro - Centro
44;241;Violência contra mulher - Rio de Janeiro - Centro
18;241;Violência contra mulher - Rio de Janeiro - Centro
19;241;Violência contra mulher - Rio de Janeiro - Centro
20;241;Violência contra mulher - Rio de Janeiro - Centro
37;241;Violência contra mulher - Rio de Janeiro - Centro
21;241;Violência contra mulher - Rio de Janeiro - Centro
22;241;Violência contra mulher - Rio de Janeiro - Centro
38;241;Violência contra mulher - Rio de Janeiro - Centro
27;241;Violência contra mulher - Rio de Janeiro - Centro
31;241;Violência contra mulher - Rio de Janeiro - Centro
39;241;Violência contra mulher - Rio de Janeiro - Centro
11;241;Violência contra mulher - Rio de Janeiro - Centro
14;241;Violência contra mulher - Rio de Janeiro - Centro
15;241;Violência contra mulher - Rio de Janeiro - Centro
29;241;Violência contra mulher - Rio de Janeiro - Centro
30;241;Violência contra mulher - Rio de Janeiro - Centro
40;241;Violência contra mulher - Rio de Janeiro - Centro
16;242;Violência contra mulher - Rio de Janeiro - Jpa
42;242;Violência contra mulher - Rio de Janeiro - Jpa
28;242;Violência contra mulher - Rio de Janeiro - Jpa
32;242;Violência contra mulher - Rio de Janeiro - Jpa
41;242;Violência contra mulher - Rio de Janeiro - Jpa
33;242;Violência contra mulher - Rio de Janeiro - Jpa
34;242;Violência contra mulher - Rio de Janeiro - Jpa
35;242;Violência contra mulher - Rio de Janeiro - Jpa
36;242;Violência contra mulher - Rio de Janeiro - Jpa
43;242;Violência contra mulher - Rio de Janeiro - Jpa
72;261;Violência contra mulher - São Gonçalo
73;261;Violência contra mulher - São Gonçalo
74;261;Violência contra mulher - São Gonçalo
75;261;Violência contra mulher - São Gonçalo
76;262;Violência contra mulher - Niterói
77;262;Violência contra mulher - Niterói
78;262;Violência contra mulher - Niterói
79;262;Violência contra mulher - Niterói
81;262;Violência contra mulher - Niterói
59;282;Violência contra mulher - Duque de Caxias
60;282;Violência contra mulher - Duque de Caxias
61;282;Violência contra mulher - Duque de Caxias
62;282;Violência contra mulher - Duque de Caxias
64;282;Violência contra mulher - Duque de Caxias
54;282;Violência contra mulher - Duque de Caxias
52;281;Violência contra mulher - Nova Iguaçu
53;281;Violência contra mulher - Nova Iguaçu
56;281;Violência contra mulher - Nova Iguaçu
57;281;Violência contra mulher - Nova Iguaçu
58;281;Violência contra mulher - Nova Iguaçu
55;281;Violência contra mulher - Nova Iguaçu
